snapshot_id,game_id,retrieved_at,provider_updated_at,book,spread_home,spread_home_price,spread_away_price,ml_home,ml_away,total,over_price,under_price,spread_ticket_pct_home,spread_money_pct_home,ml_ticket_pct_home,ml_money_pct_home,total_ticket_pct_over,total_money_pct_over,is_first_snapshot,provider_open_spread_home,provider_open_total,source,plan
2026_NFL_W12_GB_LAR_draftkings_20260905T142525Z,2026_NFL_W12_GB_LAR,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-4.5,-115,-105,-225.0,185.0,48.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W12_GB_LAR_fanduel_20260905T142525Z,2026_NFL_W12_GB_LAR,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:12Z,fanduel,-5.5,-105,-115,-240.0,198.0,48.5,-105,-115,,,,,,,True,,,odds_api,free
2026_NFL_W12_CHI_DET_draftkings_20260905T142525Z,2026_NFL_W12_CHI_DET,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-2.5,-115,-105,-142.0,120.0,52.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W12_CHI_DET_fanduel_20260905T142525Z,2026_NFL_W12_CHI_DET,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:12Z,fanduel,-2.5,-110,-110,-130.0,110.0,53.5,-115,-105,,,,,,,True,,,odds_api,free
2026_NFL_W12_PHI_DAL_draftkings_20260905T142525Z,2026_NFL_W12_PHI_DAL,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-1.5,-110,-110,-125.0,105.0,49.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W12_PHI_DAL_fanduel_20260905T142525Z,2026_NFL_W12_PHI_DAL,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:12Z,fanduel,-1.5,-110,-110,-126.0,108.0,49.5,-115,-105,,,,,,,True,,,odds_api,free
2026_NFL_W12_PHI_DAL_betonlineag_20260905T142525Z,2026_NFL_W12_PHI_DAL,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:36Z,betonlineag,-1.0,-115,-105,,,49.5,-115,-105,,,,,,,True,,,odds_api,free
2026_NFL_W12_PHI_DAL_lowvig_20260905T142525Z,2026_NFL_W12_PHI_DAL,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:16Z,lowvig,-1.0,-110,100,,,49.5,-113,-102,,,,,,,True,,,odds_api,free
2026_NFL_W12_KC_BUF_draftkings_20260905T142525Z,2026_NFL_W12_KC_BUF,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-2.5,-115,-105,-148.0,124.0,50.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W12_KC_BUF_fanduel_20260905T142525Z,2026_NFL_W12_KC_BUF,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:12Z,fanduel,-2.5,-118,-104,-154.0,130.0,50.5,-104,-118,,,,,,,True,,,odds_api,free
