split_id,game_id,week,retrieved_at,book,period,spread_ticket_pct_home,spread_money_pct_home,total_ticket_pct_home,total_money_pct_home,moneyline_ticket_pct_home,moneyline_money_pct_home,line_spread_home,line_total,line_ml_home,line_ml_away,source
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-11T16:20:10.695041+00:00,2026_NFL_W03_ATL_GB,3,2026-09-11T16:20:10.695041+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-11T16:48:50.997246+00:00,2026_NFL_W03_ATL_GB,3,2026-09-11T16:48:50.997246+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-11T17:42:59.574093+00:00,2026_NFL_W03_ATL_GB,3,2026-09-11T17:42:59.574093+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-11T20:19:02.798517+00:00,2026_NFL_W03_ATL_GB,3,2026-09-11T20:19:02.798517+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-12T00:12:23.656233+00:00,2026_NFL_W03_ATL_GB,3,2026-09-12T00:12:23.656233+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-12T00:26:37.895128+00:00,2026_NFL_W03_ATL_GB,3,2026-09-12T00:26:37.895128+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-12T01:01:22.097575+00:00,2026_NFL_W03_ATL_GB,3,2026-09-12T01:01:22.097575+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-12T01:17:56.944469+00:00,2026_NFL_W03_ATL_GB,3,2026-09-12T01:17:56.944469+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-12T02:01:01.142394+00:00,2026_NFL_W03_ATL_GB,3,2026-09-12T02:01:01.142394+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-12T02:20:17.947823+00:00,2026_NFL_W03_ATL_GB,3,2026-09-12T02:20:17.947823+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.6,-7.5,46.5,-375.0,295.0,vsin_dk
2026_NFL_W03_ATL_GB_FULL_draftkings_2026-09-12T03:01:45.242515+00:00,2026_NFL_W03_ATL_GB,3,2026-09-12T03:01:45.242515+00:00,draftkings,FULL,0.06,0.18,0.0,0.0,0.97,0.58,-7.5,46.5,-375.0,295.0,vsin_dk
