game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code
2026_NFL_W02_DET_BUF,2026-09-06T20:01:45.485065+00:00,2026-09-18T00:15:00+00:00,268.2,False,False,open_meteo,60.5,61.8,2.8,3.4,346.0,0.06,0.0,90.0,2.0
2026_NFL_W02_CAR_ATL,2026-09-06T20:01:45.704719+00:00,2026-09-20T17:00:00+00:00,333.0,False,True,open_meteo,85.8,93.8,4.9,4.7,133.0,0.1,0.008,57.0,51.0
2026_NFL_W02_NO_BAL,2026-09-06T20:01:45.923097+00:00,2026-09-20T17:00:00+00:00,333.0,False,False,open_meteo,75.4,79.9,6.4,19.0,170.0,0.09,0.0,79.0,3.0
2026_NFL_W02_MIN_CHI,2026-09-06T20:01:46.157019+00:00,2026-09-20T17:00:00+00:00,333.0,False,False,open_meteo,58.5,54.7,9.9,19.9,308.0,0.29,0.004,77.0,51.0
2026_NFL_W02_CIN_HOU,2026-09-06T20:01:46.157536+00:00,2026-09-20T17:00:00+00:00,333.0,False,True,open_meteo,91.3,96.6,6.4,8.1,119.0,0.19,0.0,50.0,2.0
2026_NFL_W02_PIT_NE,2026-09-06T20:01:46.377702+00:00,2026-09-20T17:00:00+00:00,333.0,False,False,open_meteo,71.5,68.4,11.7,20.1,198.0,0.19,0.0,58.0,3.0
2026_NFL_W02_GB_NYJ,2026-09-06T20:01:46.378212+00:00,2026-09-20T17:00:00+00:00,333.0,False,False,open_meteo,73.9,72.6,11.3,17.9,172.0,0.13,0.0,62.0,3.0
2026_NFL_W02_CLE_TB,2026-09-06T20:01:46.599705+00:00,2026-09-20T17:00:00+00:00,333.0,False,False,open_meteo,92.9,99.3,9.7,10.5,77.0,0.24,0.0,46.0,0.0
2026_NFL_W02_PHI_TEN,2026-09-06T20:01:46.600237+00:00,2026-09-20T17:00:00+00:00,333.0,False,False,open_meteo,88.1,94.9,7.9,15.9,223.0,0.26,0.047,59.0,95.0
2026_NFL_W02_JAX_DEN,2026-09-06T20:01:46.822246+00:00,2026-09-20T20:05:00+00:00,336.1,False,False,open_meteo,70.6,69.6,1.1,4.0,323.0,0.17,0.0,26.0,3.0
2026_NFL_W02_LV_LAC,2026-09-06T20:01:46.822599+00:00,2026-09-20T20:05:00+00:00,336.1,True,False,open_meteo,,,,,,,,,
2026_NFL_W02_SEA_ARI,2026-09-06T20:01:47.042261+00:00,2026-09-20T20:25:00+00:00,336.4,False,True,open_meteo,92.7,92.9,8.8,7.2,122.0,0.15,0.0,29.0,3.0
2026_NFL_W02_WAS_DAL,2026-09-06T20:01:47.261751+00:00,2026-09-20T20:25:00+00:00,336.4,False,True,open_meteo,73.1,72.1,12.9,16.3,26.0,0.1,0.0,70.0,3.0
2026_NFL_W02_MIA_SF,2026-09-06T20:01:47.481869+00:00,2026-09-20T20:25:00+00:00,336.4,False,False,open_meteo,80.3,80.6,6.5,4.5,326.0,0.0,0.0,36.0,0.0
