split_id,game_id,week,retrieved_at,book,period,spread_ticket_pct_home,spread_money_pct_home,total_ticket_pct_home,total_money_pct_home,moneyline_ticket_pct_home,moneyline_money_pct_home,line_spread_home,line_total,line_ml_home,line_ml_away,source
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:00:57.696709+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:00:57.696709+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:03:15.189066+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:03:15.189066+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:16:00.174590+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:16:00.174590+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:18:35.792390+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:18:35.792390+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:21:39.768839+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:21:39.768839+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:30:58.541692+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:30:58.541692+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:33:38.954015+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:33:38.954015+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:45:58.897990+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:45:58.897990+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T13:47:26.543836+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T13:47:26.543836+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:00:56.935647+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:00:56.935647+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:03:29.974943+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:03:29.974943+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:16:03.332723+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:16:03.332723+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:19:17.428827+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:19:17.428827+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:22:26.093330+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:22:26.093330+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:30:59.233005+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:30:59.233005+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:36:10.207030+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:36:10.207030+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:45:57.925010+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:45:57.925010+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T14:48:06.667367+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T14:48:06.667367+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:00:59.921398+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:00:59.921398+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:03:19.534512+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:03:19.534512+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:16:08.766359+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:16:08.766359+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:18:36.767692+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:18:36.767692+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:22:21.426228+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:22:21.426228+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:31:01.590465+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:31:01.590465+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:34:02.748559+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:34:02.748559+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:45:59.831088+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:45:59.831088+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T15:47:29.788788+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T15:47:29.788788+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:00:59.945813+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:00:59.945813+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:03:42.476384+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:03:42.476384+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:16:03.454288+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:16:03.454288+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:19:57.142310+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:19:57.142310+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:22:48.131474+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:22:48.131474+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:31:01.544921+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:31:01.544921+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:34:49.130534+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:34:49.130534+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:46:02.269622+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:46:02.269622+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T16:47:34.265090+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T16:47:34.265090+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T17:00:53.714102+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T17:00:53.714102+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T17:03:49.108410+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T17:03:49.108410+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T17:16:01.651995+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T17:16:01.651995+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
2026_CFB_W11_TEX_LSU_FULL_draftkings_2026-09-12T17:17:56.194932+00:00,2026_CFB_W11_TEX_LSU,11,2026-09-12T17:17:56.194932+00:00,draftkings,FULL,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,56.5,-155.0,130.0,vsin_dk
