prediction_id,game_id,model_version,league,season,week,is_backtest,actual_margin_home,actual_total,margin_error,abs_margin_error,total_error,abs_total_error,away_pts_abs_err,home_pts_abs_err,winner_correct,favorite_side,favorite_correct,model_ats_result,model_ou_result,clv_spread,win_prob_bin,evaluated_at
2026_NFL_W01_NE_SEA_NFL_v1.0_2026-09-09T12:31:08.630815+00:00,2026_NFL_W01_NE_SEA,NFL_v1.0,NFL,2026,1,False,3,23,1.06,1.06,24.09,24.09,11.51,12.58,True,HOME,True,PUSH,LOSS,,6,2026-09-10T10:44:10.665515+00:00
2026_NFL_W01_SF_LAR_NFL_v1.0_2026-09-09T12:31:08.630815+00:00,2026_NFL_W01_SF_LAR,NFL_v1.0,NFL,2026,1,False,-20,34,27.05,27.05,16.41,16.41,5.32,21.73,False,HOME,False,LOSS,LOSS,,7,2026-09-11T10:43:54.943081+00:00
2026_NFL_W01_CHI_CAR_NFL_v1.0_2026-09-12T12:26:49.526460+00:00,2026_NFL_W01_CHI_CAR,NFL_v1.0,NFL,2026,1,False,-22,96,20.64,20.64,-50.97,50.97,35.8,15.16,True,AWAY,True,LOSS,LOSS,,4,2026-09-14T10:45:06.786493+00:00
2026_NFL_W01_TB_CIN_NFL_v1.0_2026-09-12T12:26:49.526460+00:00,2026_NFL_W01_TB_CIN,NFL_v1.0,NFL,2026,1,False,6,60,-6.12,6.12,-14.91,14.91,4.4,10.51,False,HOME,True,LOSS,LOSS,,4,2026-09-14T10:45:06.788671+00:00
2026_NFL_W01_NO_DET_NFL_v1.0_2026-09-11T12:29:38.943495+00:00,2026_NFL_W01_NO_DET,NFL_v1.0,NFL,2026,1,False,1,61,3.95,3.95,-14.19,14.19,9.07,5.12,True,HOME,True,WIN,LOSS,,6,2026-09-14T10:45:06.790609+00:00
2026_NFL_W01_BUF_HOU_NFL_v1.0_2026-09-12T12:26:49.526460+00:00,2026_NFL_W01_BUF_HOU,NFL_v1.0,NFL,2026,1,False,-5,67,7.02,7.02,-20.47,20.47,13.75,6.73,False,AWAY,True,LOSS,WIN,,5,2026-09-14T10:45:06.792584+00:00
2026_NFL_W01_BAL_IND_NFL_v1.0_2026-09-12T12:26:49.526460+00:00,2026_NFL_W01_BAL_IND,NFL_v1.0,NFL,2026,1,False,-18,64,20.38,20.38,-17.91,17.91,19.14,1.23,False,AWAY,True,LOSS,LOSS,,5,2026-09-14T10:45:06.794528+00:00
2026_NFL_W01_CLE_JAX_NFL_v1.0_2026-09-12T12:26:49.526460+00:00,2026_NFL_W01_CLE_JAX,NFL_v1.0,NFL,2026,1,False,24,44,-12.67,12.67,0.18,0.18,6.42,6.24,True,HOME,True,WIN,WIN,,8,2026-09-14T10:45:06.796470+00:00
2026_NFL_W01_ATL_PIT_NFL_v1.0_2026-09-13T12:27:57.967975+00:00,2026_NFL_W01_ATL_PIT,NFL_v1.0,NFL,2026,1,False,7,33,-4.83,4.83,11.71,11.71,8.27,3.44,True,HOME,True,LOSS,LOSS,,5,2026-09-14T10:45:06.798488+00:00
2026_NFL_W01_NYJ_TEN_NFL_v1.0_2026-09-12T12:26:49.526460+00:00,2026_NFL_W01_NYJ_TEN,NFL_v1.0,NFL,2026,1,False,-13,33,14.64,14.64,9.02,9.02,2.81,11.83,False,HOME,False,LOSS,LOSS,,5,2026-09-14T10:45:06.800392+00:00
2026_NFL_W01_ARI_LAC_NFL_v1.0_2026-09-11T12:29:38.943495+00:00,2026_NFL_W01_ARI_LAC,NFL_v1.0,NFL,2026,1,False,-12,40,17.93,17.93,5.51,5.51,6.21,11.72,False,HOME,False,WIN,WIN,,6,2026-09-14T10:45:06.802154+00:00
2026_NFL_W01_MIA_LV_NFL_v1.0_2026-09-11T12:29:38.943495+00:00,2026_NFL_W01_MIA_LV,NFL_v1.0,NFL,2026,1,False,14,40,-15.02,15.02,2.92,2.92,8.97,6.05,False,HOME,True,LOSS,LOSS,,4,2026-09-14T10:45:06.803945+00:00
2026_NFL_W01_GB_MIN_NFL_v1.0_2026-09-13T12:27:57.967975+00:00,2026_NFL_W01_GB_MIN,NFL_v1.0,NFL,2026,1,False,17,61,-17.28,17.28,-14.87,14.87,1.21,16.07,False,HOME,True,LOSS,LOSS,,4,2026-09-14T10:45:06.805891+00:00
2026_NFL_W01_WAS_PHI_NFL_v1.0_2026-09-12T12:26:49.526460+00:00,2026_NFL_W01_WAS_PHI,NFL_v1.0,NFL,2026,1,False,2,46,5.58,5.58,-1.18,1.18,3.38,2.2,True,HOME,True,LOSS,WIN,,7,2026-09-14T10:45:06.807777+00:00
